"year","popsize"
1950,2525779
1951,2572851
1952,2619292
1953,2665865
1954,2713172
1955,2761651
1956,2811572
1957,2863043
1958,2916030
1959,2970396
1960,3026003
1961,3082830
1962,3141072
1963,3201178
1964,3263739
1965,3329122
1966,3397475
1967,3468522
1968,3541675
1969,3616109
1970,3691173
1971,3766754
1972,3842874
1973,3919182
1974,3995305
1975,4071020
1976,4146136
1977,4220817
1978,4295665
1979,4371528
1980,4449049
1981,4528235
1982,4608962
1983,4691560
1984,4776393
1985,4863602
1986,4953377
1987,5045316
1988,5138215
1989,5230452
1990,5320817
1991,5408909
1992,5494900
1993,5578865
1994,5661086
1995,5741822
1996,5821017
1997,5898688
1998,5975304
1999,6051478
2000,6127700
2001,6204147
2002,6280854
2003,6357992
2004,6435706
2005,6514095
2006,6593228
2007,6673106
2008,6753649
2009,6834722
2010,6916183
